"Week 1","","",""
"","8:20 pm","San Francisco 49ers","Buffalo Bills"
"Mon Dec 2","8:15 pm","Cleveland Browns","Denver Broncos"
"Week 14","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Dec 5","8:15 pm","Green Bay Packers","Detroit Lions"
"Sun Dec 8","1:00 pm","Atlanta Falcons","Minnesota Vikings"
"","1:00 pm","Carolina Panthers","Philadelphia Eagles"
"","1:00 pm","Cleveland Browns","Pittsburgh Steelers"
"","1:00 pm","Jacksonville Jaguars","Tennessee Titans"
"","1:00 pm","Las Vegas Raiders","Tampa Bay Buccaneers"
"","1:00 pm","New Orleans Saints","New York Giants"
"","1:00 pm","New York Jets","Miami Dolphins"
"","4:05 pm","Seattle Seahawks","Arizona Cardinals"
"","4:25 pm","Buffalo Bills","Los Angeles Rams"
"","4:25 pm","Chicago Bears","San Francisco 49ers"
"","8:20 pm","Los Angeles Chargers","Kansas City Chiefs"
"Mon Dec 9","8:15 pm","Cincinnati Bengals","Dallas Cowboys"
"Bye: Baltimore, Denver, Houston, Indianapolis, New England, Washington","","",""
"Week 15","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Dec 12","8:15 pm","Los Angeles Rams","San Francisco 49ers"
"Sun Dec 15","1:00 pm","Baltimore Ravens","New York Giants"
"","1:00 pm","Cincinnati Bengals","Tennessee Titans"
"","1:00 pm","Dallas Cowboys","Carolina Panthers"
"","1:00 pm","Kansas City Chiefs","Cleveland Browns"
"","1:00 pm","Miami Dolphins","Houston Texans"
"","1:00 pm","New York Jets","Jacksonville Jaguars"
"","1:00 pm","Washington Commanders","New Orleans Saints"
"","4:25 pm","Buffalo Bills","Detroit Lions"
"","4:25 pm","Indianapolis Colts","Denver Broncos"
"","4:25 pm","New England Patriots","Arizona Cardinals"
"","4:25 pm","Pittsburgh Steelers","Philadelphia Eagles"
"","4:25 pm","Tampa Bay Buccaneers","Los Angeles Chargers"
"","8:20 pm","Green Bay Packers","Seattle Seahawks"
"Mon Dec 16","8:00 pm","Chicago Bears","Minnesota Vikings"
"","8:30 pm","Atlanta Falcons","Las Vegas Raiders"
"Week 16","","",""
"Date","Time (ET)","Away Team","Home Team"
"Thu Dec 19","8:15 pm","Cleveland Browns","Cincinnati Bengals"
"Sat Dec 21","1:00 pm","Houston Texans","Kansas City Chiefs"
"","4:30 pm","Pittsburgh Steelers","Baltimore Ravens"
"Sun Dec 22","1:00 pm","Arizona Cardinals","Carolina Panthers"
"","1:00 pm","Detroit Lions","Chicago Bears"
"","1:00 pm","Los Angeles Rams","New York Jets"
"","1:00 pm","New England Patriots","Buffalo Bills"
"","1:00 pm","New York Giants","Atlanta Falcons"
"","1:00 pm","Philadelphia Eagles","Washington Commanders"
"","1:00 pm","Tennessee Titans","Indianapolis Colts"
"","4:05 pm","Denver Broncos","Los Angeles Chargers"
"","4:05 pm","Minnesota Vikings","Seattle Seahawks"
"","4:25 pm","Jacksonville Jaguars","Las Vegas Raiders"
"","4:25 pm","San Francisco 49ers","Miami Dolphins"
"","8:20 pm","Tampa Bay Buccaneers","Dallas Cowboys"
"Mon Dec 23","8:15 pm","New Orleans Saints","Green Bay Packers"
"Week 17","","",""
"Date","Time (ET)","Away Team","Home Team"
"Wed Dec 25","1:00 pm","Kansas City Chiefs","Pittsburgh Steelers"
"","4:30 pm","Baltimore Ravens","Houston Texans"
"Thu Dec 26","8:15 pm","Seattle Seahawks","Chicago Bears"
"Sat Dec 28","1:00 pm","Denver Broncos","Cincinnati Bengals *"
"","4:30 pm","Arizona Cardinals","Los Angeles Rams *"
"","8:00 pm","Los Angeles Chargers","New England Patriots *"
"Sun Dec 29","1:00 pm","Atlanta Falcons","Washington Commanders *"
